Year,Primary,Secondary,Tertiary
1970,103.9499664,73.81533813,15.06832981
1980,105.5363693,82.02719116,18.35732079
1990,103.1068115,86.73774719,26.75856018
2000,100.5862122,101.2091064,57.37023163
2010,105.6733932,103.4549866,59.85358047
2020,98.59165955,114.1696167,69.98657227
